ImageName	TimePoint	DayAfterInduction
Image5D_bf3347_SPOT2.tif	7	d12
Image5D_bf3347_SPOT2.tif	8	d15
Image5D_bf3347_SPOT2.tif	9	d21
Image5D_bf3347_SPOT2.tif	10	d31
Image5D_bf3347_SPOT3.tif	1	d3
Image5D_bf3347_SPOT3.tif	2	d35
Image5D_bf3347_SPOT3.tif	3	d58
Image5D_bf3347_SPOT8.tif	1	d4
Image5D_bf3347_SPOT8.tif	2	d8
Image5D_bf3347_SPOT8.tif	3	d9
Image5D_bf3347_SPOT8.tif	4	d10
Image5D_bf3347_SPOT8.tif	5	d11
Image5D_bf3347_SPOT8.tif	6	d12
Image5D_bf3347_SPOT8.tif	7	d13
Image5D_bf3347_SPOT8.tif	8	d14
Image5D_bf3347_SPOT8.tif	9	d15
Image5D_bf3347_SPOT8.tif	10	d16
Image5D_bf3347_SPOT8.tif	11	d17
Image5D_bf3347_SPOT8.tif	12	d18
Image5D_bf3347_SPOT8.tif	13	d19
Image5D_bf3347_SPOT8.tif	14	d20
Image5D_bf3347_SPOT8.tif	15	d21
Image5D_bf3347_SPOT9.tif	1	d4
Image5D_bf3347_SPOT9.tif	2	d8
Image5D_bf3347_SPOT9.tif	3	d9
Image5D_bf3347_SPOT9.tif	4	d10
Image5D_bf3347_SPOT9.tif	5	d11
Image5D_bf3347_SPOT9.tif	6	d12
Image5D_bf3347_SPOT9.tif	7	d13
Image5D_bf3347_SPOT9.tif	8	d14
Image5D_bf3347_SPOT9.tif	9	d15
Image5D_bf3347_SPOT9.tif	10	d16
Image5D_bf3347_SPOT9.tif	11	d17
Image5D_bf3347_SPOT9.tif	12	d20
Image5D_bf3347_SPOT9.tif	13	d21
Image5D_bf3347_SPOT9.tif	14	d31
Image5D_bf3347_SPOT9.tif	15	d50
Image5D_bf3347_SPOT9.tif	16	d58
Image5D_bf3345_SPOT10.tif	1	d2
Image5D_bf3345_SPOT10.tif	2	d3
Image5D_bf3345_SPOT10.tif	3	d4
Image5D_bf3345_SPOT10.tif	4	d5
Image5D_bf3345_SPOT12.tif	1	d3
Image5D_bf3345_SPOT12.tif	2	d4
Image5D_bf3345_SPOT12.tif	3	d5
Image5D_bf3345_SPOT12.tif	4	d6
Image5D_bf3345_SPOT12.tif	5	d7
Image5D_bf3345_SPOT12.tif	6	d11
Image5D_bf3345_SPOT12.tif	7	d12
Image5D_bf3345_SPOT12.tif	8	d13
Image5D_bf3345_SPOT12.tif	9	d14
Image5D_bf3345_SPOT12.tif	10	d15
Image5D_bf3345_SPOT12.tif	11	d16
Image5D_bf3345_SPOT12.tif	12	d17
Image5D_bf3345_SPOT12.tif	13	d18
Image5D_bf3345_SPOT12.tif	14	d24
Image5D_bf3345_SPOT12.tif	15	d31
Image5D_bf3345_SPOT13.tif	1	d3
Image5D_bf3345_SPOT13.tif	2	d4
Image5D_bf3345_SPOT13.tif	3	d5
Image5D_bf3345_SPOT13.tif	4	d11
Image5D_bf3345_SPOT13.tif	5	d12
Image5D_bf3345_SPOT13.tif	6	d13
Image5D_bf3345_SPOT13.tif	7	d14
Image5D_bf3345_SPOT13.tif	8	d15
Image5D_bf3345_SPOT13.tif	9	d16
Image5D_bf3345_SPOT13.tif	10	d17
Image5D_bf3345_SPOT13.tif	11	d18
Image5D_bf3345_SPOT13.tif	12	d19
Image5D_bf3345_SPOT13.tif	13	d20
Image5D_bf3345_SPOT13.tif	14	d21
Image5D_bf3345_SPOT13.tif	15	d22
Image5D_bf3345_SPOT13.tif	16	d23
Image5D_bf3345_SPOT13.tif	17	d24
Image5D_bf3345_SPOT13.tif	18	d25
Image5D_bf3345_SPOT13.tif	19	d26
Image5D_bf3345_SPOT13.tif	20	d27
Image5D_bf3345_SPOT13.tif	21	d30
Image5D_bf3345_SPOT13.tif	22	d31
Image5D_bf3345_SPOT17.tif	1	d5
Image5D_bf3345_SPOT17.tif	2	d11
Image5D_bf3345_SPOT17.tif	3	d12
Image5D_bf3345_SPOT17.tif	4	d16
Image5D_bf3345_SPOT17.tif	5	d18
Image5D_bf3345_SPOT17.tif	6	d31
Image5D_bf3345_SPOT18.tif	1	d5
Image5D_bf3345_SPOT18.tif	2	d12
Image5D_bf3345_SPOT18.tif	3	d13
Image5D_bf3345_SPOT18.tif	4	d15
Image5D_bf3345_SPOT18.tif	5	d17
Image5D_bf3345_SPOT19.tif	1	d5
Image5D_bf3345_SPOT19.tif	2	d6
Image5D_bf3345_SPOT19.tif	3	d11
Image5D_bf3345_SPOT19.tif	4	d12
Image5D_bf3345_SPOT19.tif	5	d13
Image5D_bf3345_SPOT19.tif	6	d14
Image5D_bf3345_SPOT19.tif	7	d16
Image5D_bf3345_SPOT19.tif	8	d31
Image5D_bf3345_SPOT20.tif	1	d11
Image5D_bf3345_SPOT20.tif	2	d12
Image5D_bf3345_SPOT20.tif	3	d13
